id,course_id,question,answer,topic,category,level,status,evidence_count,evidence_1_video_id,evidence_1_video_url,evidence_1_start_timestamp,evidence_1_end_timestamp,evidence_1_score,evidence_2_video_id,evidence_2_video_url,evidence_2_start_timestamp,evidence_2_end_timestamp,evidence_2_score,evidence_3_video_id,evidence_3_video_url,evidence_3_start_timestamp,evidence_3_end_timestamp,evidence_3_score,evidence_4_video_id,evidence_4_video_url,evidence_4_start_timestamp,evidence_4_end_timestamp,evidence_4_score,evidence_5_video_id,evidence_5_video_url,evidence_5_start_timestamp,evidence_5_end_timestamp,evidence_5_score,evidence_6_video_id,evidence_6_video_url,evidence_6_start_timestamp,evidence_6_end_timestamp,evidence_6_score,evidence_7_video_id,evidence_7_video_url,evidence_7_start_timestamp,evidence_7_end_timestamp,evidence_7_score,evidence_8_video_id,evidence_8_video_url,evidence_8_start_timestamp,evidence_8_end_timestamp,evidence_8_score,note
q001,CS114,"Trong các bài toán phân lớp, hàm Softmax biến đổi các giá trị đầu ra (logits) thành dạng gì?","Hàm Softmax chuẩn hóa các giá trị đầu ra (logits) thành phân phối xác suất, giúp biểu diễn độ tin cậy của mô hình cho từng lớp.",Softmax,definition,easy,,2,40kpU65MMoI,https://www.youtube.com/watch?v=40kpU65MMoI,0:15:22,0:15:45,3,NEK5lIyST0M,https://www.youtube.com/watch?v=NEK5lIyST0M,0:14:32,0:15:31,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
q002,CS114,Tại sao thuật toán gom cụm lại mất nhiều thời gian hơn khi làm việc với dữ liệu có nhiều chiều?,"Vì số chiều của dữ liệu gốc lớn hơn nhiều so với không gian 2 chiều, nên thời gian xử lý sẽ lâu hơn.",Thuật toán gom cụm,mechanism,medium,,3,-wnlmTs1xvc,https://www.youtube.com/watch?v=-wnlmTs1xvc,0:04:12,0:05:30,3,mEMcmVX3hwg,https://www.youtube.com/watch?v=mEMcmVX3hwg,0:13:56,0:15:09,3,RGEA9a14dBs,https://www.youtube.com/watch?v=RGEA9a14dBs,0:02:09,0:03:04,2,,,,,,,,,,,,,,,,,,,,,,,,,,
q003,CS114,"Khi giảm chiều dữ liệu từ không gian lớn xuống không gian hai chiều, điều gì có thể xảy ra với các điểm dữ liệu?","Các điểm dữ liệu có thể không được gom lại chính xác vào cùng một cụm, nhưng chúng có thể xấp xỉ nhau trong cùng một khu vực.",Giảm chiều dữ liệu,mechanism,medium,,5,3RrUezdwQ-s,https://www.youtube.com/watch?v=3RrUezdwQ-s,0:03:17,0:03:57,3,-wnlmTs1xvc,https://www.youtube.com/watch?v=-wnlmTs1xvc,0:04:12,0:05:30,3,9bI07JfvEh8,https://www.youtube.com/watch?v=9bI07JfvEh8,0:09:19,0:10:10,3,Oc2dKYMWUx0,https://www.youtube.com/watch?v=Oc2dKYMWUx0,0:03:16,0:04:05,3,hrxNKadDpw4,https://www.youtube.com/watch?v=hrxNKadDpw4,0:04:56,0:05:58,1,,,,,,,,,,,,,,,,
q004,CS114,Vai trò của hàm kích hoạt trong mạng nơ-ron là gì?,"Hàm kích hoạt giúp đưa tính phi tuyến vào mô hình, cho phép mạng nơ-ron thực hiện các phép biến đổi phi tuyến, thay vì chỉ thực hiện các phép biến đổi tuyến tính.",Hàm kích hoạt trong mạng nơ-ron,mechanism,medium,,3,40kpU65MMoI,https://www.youtube.com/watch?v=40kpU65MMoI,0:07:58,0:09:23,3,6spgb9hK5To,https://www.youtube.com/watch?v=6spgb9hK5To,0:16:15,0:17:29,3,rzKMT_sUg7Q,https://www.youtube.com/watch?v=rzKMT_sUg7Q,0:13:47,0:14:43,2,,,,,,,,,,,,,,,,,,,,,,,,,,
q005,CS114,"Trong mô hình hồi quy logistic, các tham số W1, W2 và bias được sử dụng để tính toán giá trị dự đoán như thế nào?","Các tham số W1 và W2 được nhân với các giá trị đầu vào, trong khi bias được cộng vào kết quả của phép nhân này để tạo ra giá trị dự đoán cuối cùng.",Hồi quy logistic,mechanism,medium,,5,5MgxCUTD9I4,https://www.youtube.com/watch?v=5MgxCUTD9I4,0:04:01,0:05:28,3,d208XcqDgDI,https://www.youtube.com/watch?v=d208XcqDgDI,0:11:15,0:12:35,3,qFLltTMPxvU,https://www.youtube.com/watch?v=qFLltTMPxvU,0:06:09,0:07:13,3,XdW4AEPxahk,https://www.youtube.com/watch?v=XdW4AEPxahk,0:00:13,0:01:17,3,aXB_C9IAyMg,https://www.youtube.com/watch?v=aXB_C9IAyMg,0:11:54,0:13:10,2,,,,,,,,,,,,,,,,
q006,CS114,Quá trình phân cụm theo kiểu nested diễn ra như thế nào?,"Quá trình này bắt đầu bằng việc tìm hai cụm gần nhất và gộp chúng lại. Sau đó, khoảng cách cho cụm mới được tạo ra sẽ được tính và tiếp tục lặp lại cho đến khi chỉ còn một cụm duy nhất.",Quá trình phân cụm,mechanism,medium,,1,5vs9uLeRy3Q,https://www.youtube.com/watch?v=5vs9uLeRy3Q,0:05:55,0:06:59,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
q007,CS114,Bạn có thể giải thích Deterministic Policy trong học tăng cường không?,Deterministic Policy là một chính sách mà mỗi trạng thái ánh xạ chính xác sang một hành động duy nhất.,Chính sách hành động,definition,medium,,3,6NcteEkIRBM,https://www.youtube.com/watch?v=6NcteEkIRBM,0:02:46,0:03:44,3,Ql0n4t39rAU,https://www.youtube.com/watch?v=Ql0n4t39rAU,0:04:32,0:05:31,3,tGizMGafWY0,https://www.youtube.com/watch?v=tGizMGafWY0,0:13:05,0:13:59,1,,,,,,,,,,,,,,,,,,,,,,,,,,
q008,CS114,"Trong một mô hình học máy, biến X thường được tạo ra từ những thành phần nào?",Biến X thường được tạo ra từ các thành phần dữ liệu và một thành phần bias.,Tạo biến trong mô hình học máy,definition,medium,,6,7IdTMLLCPxw,https://www.youtube.com/watch?v=7IdTMLLCPxw,0:08:22,0:09:17,3,lG95Eg3Hv7c,https://www.youtube.com/watch?v=lG95Eg3Hv7c,0:06:35,0:07:33,3,JqHpAp-xdu0,https://www.youtube.com/watch?v=JqHpAp-xdu0,0:07:13,0:08:18,3,peYaH97QeEw,https://www.youtube.com/watch?v=peYaH97QeEw,0:00:14,0:01:20,1,vqDSl2cle2o,https://www.youtube.com/watch?v=vqDSl2cle2o,0:23:42,0:25:11,3,lO0rvNo-49s,https://www.youtube.com/watch?v=lO0rvNo-49s,0:02:32,0:03:41,1,,,,,,,,,,,
q009,CS114,"Trong phân chia nhị phân, thuật toán chọn điểm phân chia dựa trên tiêu chí nào?",Điểm phân chia được chọn dựa trên độ lỗi giảm nhiều nhất.,Phân chia nhị phân trong cây quyết định.,mechanism,medium,,2,8b8OKHIktqI,https://www.youtube.com/watch?v=8b8OKHIktqI,0:08:52,0:10:16,3,onVEt5FPeWc,https://www.youtube.com/watch?v=onVEt5FPeWc,0:01:35,0:02:50,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
q010,CS114,"Khi dữ liệu không đồng đều, mô hình học máy có thể gặp phải vấn đề gì?","Mô hình có thể bị thiên lệch vào các quyết định dựa trên nhóm dữ liệu chiếm ưu thế, dẫn đến việc nó thiên về một nhóm cụ thể.",Bias trong mô hình học máy,mechanism,medium,,3,8KfV0kYAUxk,https://www.youtube.com/watch?v=8KfV0kYAUxk,0:03:06,0:03:45,3,u3GD0b9vCDo,https://www.youtube.com/watch?v=u3GD0b9vCDo,0:05:02,0:05:57,1,it7jk54r_N8,https://www.youtube.com/watch?v=it7jk54r_N8,0:01:55,0:02:50,1,,,,,,,,,,,,,,,,,,,,,,,,,,
